id_text,provenience,height,width,thickness,features,scaled_features,cluster,distance,anomaly
135973,Nippur (mod. Nuffar),30.0,30.0,13.0,"[30.0,30.0,13.0]","[-1.0681837598900634,-1.0669803936148288,-1.378816928709013]",0,0.9879629251534776,0
223277,Nippur (mod. Nuffar),90.0,48.0,28.0,"[90.0,48.0,28.0]","[1.4435708095289095,0.5226204908709507,1.0289511529368696]",1,1.2219245539441166,0
225791,uncertain (mod. uncertain),35.0,42.0,16.0,"[35.0,42.0,16.0]","[-0.858870879105149,-0.007246470624309028,-0.8972633123798365]",0,0.7338583465218763,0
225792,uncertain (mod. uncertain),23.0,22.0,10.0,"[23.0,22.0,10.0]","[-1.3612217929889436,-1.7734696756085084,-1.8603705450381895]",0,1.843364460102833,1
235703,Larsa (mod. Tell as-Senkereh),62.0,45.0,17.0,"[62.0,45.0,17.0]","[0.2714186771333888,0.2576870101233209,-0.736745440270111]",1,1.1720825644946777,0
236011,Isin (mod. Bahriyat) ?,38.0,34.0,17.0,"[38.0,34.0,17.0]","[-0.7332831506342005,-0.7137357526179888,-0.736745440270111]",0,0.18242445785215636,0
236012,Isin (mod. Bahriyat) ?,33.0,31.0,16.0,"[33.0,31.0,16.0]","[-0.9425960314191149,-0.9786692333656187,-0.8972633123798365]",0,0.5409111314256158,0
236013,Isin (mod. Bahriyat) ?,40.0,33.0,17.0,"[40.0,33.0,17.0]","[-0.6495579983202346,-0.8020469128671988,-0.736745440270111]",0,0.21748791584175653,0
236014,Isin (mod. Bahriyat) ?,32.0,30.0,17.0,"[32.0,30.0,17.0]","[-0.9844586075760977,-1.0669803936148288,-0.736745440270111]",0,0.5598469763088889,0
236015,Isin (mod. Bahriyat) ?,36.0,31.0,17.0,"[36.0,31.0,17.0]","[-0.8170083029481662,-0.9786692333656187,-0.736745440270111]",0,0.40329576969943376,0
236016,Isin (mod. Bahriyat) ?,38.0,32.0,17.0,"[38.0,32.0,17.0]","[-0.7332831506342005,-0.8903580731164088,-0.736745440270111]",0,0.30027566258817323,0
236017,Isin (mod. Bahriyat) ?,37.0,31.0,17.0,"[37.0,31.0,17.0]","[-0.7751457267911833,-0.9786692333656187,-0.736745440270111]",0,0.3880386445117086,0
236018,Isin (mod. Bahriyat) ?,41.0,35.0,17.0,"[41.0,35.0,17.0]","[-0.6076954221632518,-0.6254245923687788,-0.736745440270111]",0,0.153479513135608,0
236019,Isin (mod. Bahriyat) ?,36.0,33.0,15.0,"[36.0,33.0,15.0]","[-0.8170083029481662,-0.8020469128671988,-1.057781184489562]",0,0.5210293945065878,0
236020,Isin (mod. Bahriyat) ?,33.0,29.0,14.0,"[33.0,29.0,14.0]","[-0.9425960314191149,-1.1552915538640387,-1.2182990565992875]",0,0.8619908996516914,0
